Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,31190,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,246,Finland,FIN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,5367,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,718823,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1097353,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,300,Greece,GRC,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,149455,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2071478,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,348,Hungary,HUN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,5802,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,750,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,376,Israel,ISR,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,66109,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1657872,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,23548512,,,0
