,Unnamed: 0,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp
97,97,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,9,9.0,9.0,53.476000000000006,BRA
98,98,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,11,14.0,14.0,0.053,BRA
99,99,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,12,5.0,5.0,373.586,BRA
100,100,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,13,4.33,4.01,78.887,BRA
101,101,Costa Rica,CRI,1996,11618286.652063,0,0,0,0,0,0,0,0,5523.376,4908.824000000001,5368.428000000001,5275.892,15,9.5,5.0,171.155,BRA
102,102,Cyprus,CYP,1996,10011918.4441656,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,7,67.25,99.56,0.8640000000000001,BRA
103,103,Cyprus,CYP,1996,10011918.4441656,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,8,44.0,44.0,186.887,BRA
104,104,Cyprus,CYP,1996,10011918.4441656,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,9,45.08,4.08,5209.064,BRA
105,105,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,1,0.0,0.0,1.439,BRA
106,106,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,2,47.59,46.44,642.534,BRA
107,107,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,3,0.0,0.0,16.213,BRA
108,108,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,5,0.0,0.0,2.963,BRA
109,109,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,7,5.86,8.55,5.136,BRA
110,110,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,8,3.93,1.72,1652.3010000000006,BRA
111,111,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,9,3.6,3.64,4243.552,BRA
112,112,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,12,0.0,0.0,9.615,BRA
113,113,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.806999999999,9539.765,13,0.21,0.19,3.755,BRA
114,114,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,1,9.0,9.0,1.177,BRA
115,115,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,3,12.5,12.5,8.142000000000001,BRA
116,116,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,4,20.0,20.0,0.429,BRA
117,117,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,5,10.0,10.0,0.882,BRA
118,118,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,8,15.0,15.0,0.087,BRA
119,119,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,9,15.0,11.32,38.678000000000004,BRA
120,120,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,10,0.0,0.0,181.27900000000002,BRA
121,121,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,11,20.0,20.0,8.809,BRA
122,122,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,12,4.17,3.59,351.15,BRA
123,123,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,13,10.0,10.81,12.687999999999999,BRA
124,124,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,15,12.78,15.49,420.565,BRA
125,125,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,7,0.0,0.0,3.471,BRA
126,126,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,8,0.0,0.0,238.88299999999998,BRA
127,127,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,9,0.0,0.0,33.164,BRA
128,128,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,12,0.0,0.0,87.165,BRA
129,129,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,15,0.0,0.0,13.532,BRA
130,130,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,6,19.09,19.09,2.351,BRA
131,131,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,7,10.0,10.0,8.212,BRA
132,132,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,8,30.0,30.0,229.73,BRA
133,133,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,11,20.0,20.0,152.69899999999996,BRA
134,134,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,12,10.0,10.0,2727.3190000000004,BRA
135,135,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,13,10.0,10.0,303.75,BRA
136,136,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,15,12.5,16.57,4295.305,BRA
137,137,India,IND,1996,392897054.34807104,0,0,0,0,0,0,0,0,14441.49,14251.55,13949.72,13908.2,13,22.0,22.0,2216.883,BRA
138,138,India,IND,1996,392897054.34807104,0,0,0,0,0,0,0,0,14441.49,14251.55,13949.72,13908.2,15,40.0,37.85,6221.7159999999985,BRA
139,139,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.896999999999,7,30.0,30.0,1.472,BRA
140,140,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.896999999999,8,0.0,0.0,340.413,BRA
141,141,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.896999999999,9,0.0,0.0,815.525,BRA
142,142,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.896999999999,12,0.0,0.0,16.312,BRA
143,143,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.896999999999,15,0.0,0.0,17.808,BRA
144,144,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,1,0.0,0.0,19.387999999999998,BRA
145,145,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,2,14.48,8.65,258268.91,BRA
146,146,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,3,2.93,2.2,57517.63200000001,BRA
147,147,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,4,22.3,20.84,2049.844,BRA
148,148,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,5,0.0,0.0,27990.19100000001,BRA
149,149,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,6,0.0,0.0,664.745,BRA
150,150,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,7,8.64,10.17,2435.411,BRA
151,151,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,8,7.47,14.3,74.582,BRA
152,152,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,9,5.2,0.12,201695.25600000002,BRA
153,153,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,10,0.0,0.0,17.678,BRA
154,154,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,11,18.89,17.51,110.56299999999999,BRA
