Year,Country Code,PIB
1998 ,TUV,12757632.8684508
1998 ,UGA,6584815846.52754
1998 ,UKR,41883241471.7365
1998 ,ARE,75674336283.1858
1998 ,GBR,1650172242464.39
1998 ,USA,9062818211000
1998 ,URY,25385928198.3212
1998 ,UZB,14988971210.8383
1998 ,VUT,262301252.769228
1998 ,VEN,91331203433.1629
1998 ,VNM,27209602050.0452
1998 ,PSE,4067800000
1998 ,YEM,6325141675.86989
1998 ,ZMB,3537683046.02331
1998 ,ZWE,6401968200
1998 ,ARB,591579002605.555
1998 ,CSS,30069769930.0114
1998 ,CEB,447743168925.507
1998 ,EAR,2871196595213.35
1998 ,EAS,6856546436550.95
1998 ,EAP,1433119950622.82
1998 ,TEA,1430165481621.57
1998 ,EMU,7149094380640.08
1998 ,ECS,10777353457320.8
1998 ,ECA,746548031402.243
1998 ,TEC,946380468891.436
1998 ,EUU,9616863420821.72
1998 ,HPC,151913492365.87
1998 ,HIC,25748335656716.6
1998 ,IBD,5502438232408.45
1998 ,IBT,5912726360204.14
1998 ,IDB,175946957342.98
1998 ,IDX,234144020666.154
1998 ,IDA,411164539037.238
1998 ,LTE,3352632300539.47
1998 ,LCN,2299256311975.27
1998 ,LAC,2099481346608.75
1998 ,TLA,2199438672257.33
1998 ,LDC,185936309748.496
1998 ,LMY,5620454076342.74
1998 ,LIC,114677571875.348
1998 ,LMC,1130985665866.87
1998 ,MEA,809311419864.6
1998 ,MNA,412073256189.346
1998 ,TMN,407950744428.346
1998 ,MIC,5506832380381.02
1998 ,NAC,9697762238406.81
1998 ,OED,25534580124509.2
1998 ,OSS,75063728532.379
1998 ,PSS,3413688245.0637
1998 ,PST,24615417115160.7
1998 ,PRE,208223140659.644
1998 ,SST,108605731058.466
1998 ,SAS,558476303692.602
1998 ,TSA,558476303692.602
1998 ,SSF,369368201561.322
1998 ,SSA,368755639167.539
1998 ,TSS,369368201561.322
1998 ,UMC,4376068821217.91
1998 ,WLD,31378238438014.8
1999 ,ALB,3212119044.17089
1999 ,DZA,48639108360.6213
1999 ,AND,1239876305.13531
1999 ,AGO,6152922942.98032
1999 ,ATG,766198925.925926
1999 ,ARG,283523000000
1999 ,ARM,1845482181.44801
1999 ,ABW,1722798882.68156
1999 ,AUS,388608221581.652
1999 ,AUT,217185787342.851
1999 ,AZE,4581246713.32066
1999 ,BHS,7683870000
1999 ,BHR,6621010372.34043
1999 ,BGD,51270569883.5275
1999 ,BRB,3012081738.17929
1999 ,BLR,12138486532.0203
1999 ,BEL,258158533986.789
1999 ,BLZ,732732350
1999 ,BEN,2689787917.50711
1999 ,BMU,3324433000
1999 ,BTN,419035810.496981
1999 ,BOL,8285075872.27307
1999 ,BIH,4685733115.46841
1999 ,BWA,5484257417.17845
1999 ,BRA,599388579985.673
1999 ,BRN,4600000000
1999 ,BGR,13531969309.4629
1999 ,BFA,2993753187.09677
1999 ,BDI,808077223.365746
1999 ,CPV,592416703.058878
1999 ,KHM,3517242477.2285
1999 ,CMR,11198378749.4719
1999 ,CAN,676084000807.7
1999 ,CAF,999477510.686632
1999 ,TCD,1534673583.2487
1999 ,CHI,6262740656.85164
1999 ,CHL,75173794497.0321
1999 ,CHN,1093997267271.06
1999 ,COL,86186158684.7685
1999 ,COM,382454989.945311
1999 ,COD,4711259427.27273
1999 ,COG,2353909563.94122
1999 ,CRI,14195623342.9011
1999 ,CIV,12376639822.9265
1999 ,HRV,23400480897.6757
1999 ,CUB,28364615200
1999 ,CYP,10497908306.3646
1999 ,CZE,64867483193.1315
1999 ,DNK,177965188354.692
1999 ,DJI,536080148.097299
1999 ,DMA,331759000
1999 ,DOM,22137599986.1056
1999 ,ECU,19645272636.3182
1999 ,EGY,90710704806.8416
1999 ,SLV,11284197000
1999 ,GNQ,621117885.668503
1999 ,ERI,688921325.712043
1999 ,EST,5762048126.06474
1999 ,SWZ,1547884442.26205
1999 ,ETH,7700833482.00615
1999 ,FRO,1120280381.86979
1999 ,FJI,1942170999.18765
1999 ,FIN,135218410398.466
1999 ,FRA,1492647560196.04
1999 ,PYF,3797016068.69688
1999 ,GAB,4662992036.2073
1999 ,GMB,814723460.08372
1999 ,GEO,2800026339.12617
1999 ,DEU,2194204133816.32
1999 ,GHA,7719354838.70968
1999 ,GRC,142540728958.023
1999 ,GRL,1131561595.13775
1999 ,GRD,482009370.37037
1999 ,GTM,18318412251.3642
1999 ,GIN,3461282293.64624
1999 ,GNB,224446663.800548
1999 ,GUY,694754988.258295
1999 ,HTI,4153736347.44223
1999 ,HND,6414520529.61673
1999 ,HKG,165768095391.557
1999 ,HUN,49073380173.7159
1999 ,ISL,8971609106.48051
1999 ,IND,458820417337.807
1999 ,IDN,140001351215.462
1999 ,IRN,113848450088.351
1999 ,IRL,98692079266.9934
1999 ,IMN,1567465656.8505
1999 ,ISR,117111535207.865
1999 ,ITA,1252023758789.69
1999 ,JAM,8851581632.65306
1999 ,JPN,4562078822335.45
1999 ,JOR,8263921015.51481
1999 ,KAZ,16870817134.7767
1999 ,KEN,12896013576.7324
1999 ,KIR,69032258.0645161
1999 ,KOR,485248229336.653
1999 ,KWT,30123850197.1091
1999 ,KGZ,1249061487.01457
1999 ,LAO,1454430642.49183
1999 ,LVA,7518044679.3178
1999 ,LBN,17391056369.2265
1999 ,LSO,912771290.61298
1999 ,LBY,35976714100.9056
1999 ,LIE,2664026095.06058
1999 ,LTU,10972878636.1675
1999 ,LUX,22235929043.2559
1999 ,MAC,6490571703.85015
1999 ,MDG,3717515282.53319
1999 ,MWI,1775921718.10534
1999 ,MYS,79148421052.6316
1999 ,MDV,589239753.610875
1999 ,MLI,3439463140.35541
1999 ,MLT,4127313818.33836
1999 ,MHL,114326300
1999 ,MRT,1405662876.94378
1999 ,MUS,4343710332.80658
1999 ,MEX,600232874042.927
1999 ,FSM,220140471.847169
1999 ,MDA,1170782957.37443
1999 ,MCO,2906009307.6651
1999 ,MNG,1057408588.68269
1999 ,MAR,41632027599.8531
1999 ,MOZ,5888561099.32603
1999 ,NAM,3818954447.99083
1999 ,NPL,5033642384.10596
1999 ,NLD,446898572341.786
